R,G,B,Concentration
129,131,128,0
134,137,142,1
134,137,143,1
150,150,151,1
136,148,155,3
136,148,156,3
120,129,132,3
127,136,149,5
127,136,150,5
109,119,128,5
78,97,133,7
78,97,134,7
97,110,135,7
85,105,130,9
85,105,131,9
74,106,144,9
79,95,126,10
60,84,128,10
60,84,128,10
41,59,125,20
30,68,146,20
30,68,147,20
4,45,130,30
6,33,112,30
6,33,113,30
17,39,131,40
6,25,116,40
6,25,117,40
2,17,110,50
1,17,110,50
1,17,111,50
12,11,98,60
0,9,99,60
0,9,100,60
4,8,71,70
3,12,89,70
3,12,90,70
0,70,74,80
0,7,74,80
0,7,75,80
10,9,66,90
3,5,72,90
3,5,73,90
3,6,43,100
18,23,71,100
18,23,72,100
5,3,27,110
2,3,47,110
2,3,48,110
2,3,47,120
4,4,36,120
4,4,37,120
11,7,50,130
4,4,36,130
4,4,37,130
7,7,40,140
2,2,34,140
2,2,35,140
5,7,28,150
9,7,56,150
9,7,57,150
